# ct=2.5 Nx=38
# x_cm y_cm T_keV E_over_aTkeV4 aluminum
0.85 2.15 0.01002741744122614 5.131621924437733e-05 0
0.85 2.25 0.010026036559435 7.195353022030312e-05 0
0.85 2.35 0.01001050010238969 5.567583657832845e-05 0
0.85 2.45 0.01000165675576227 9.068816999430415e-06 0
0.85 2.55 0.01000000313836282 6.4547172424911e-09 0
0.85 2.65 0.009999820257967546 8.786616087884967e-09 0
0.85 2.75 0.01000013883685526 9.426500438772045e-09 0
0.85 2.85 0.01000049139536031 1.20021985454982e-08 0
0.85 2.95 0.009999674768544371 1.496153881051896e-08 0
0.85 3.05 0.01000012983403366 4.399854681294735e-09 0
0.85 3.15 0.009999809478810424 9.017704148701144e-09 0
0.85 3.25 0.009999912765625969 5.801199960703138e-09 0
0.85 3.35 0.009999599955943812 4.478158538443904e-09 0
0.85 3.45 0.01000007249661352 1.485830796900901e-08 0
0.85 3.55 0.01000033608051311 8.566522028376082e-09 0
0.85 3.65 0.01000044124723644 7.022551856488591e-09 0
0.85 3.75 0.009999701089132746 1.128345319266271e-08 0
0.95 0.05 0.01740308140513874 0.003631088457548436 0
0.95 0.15 0.01728494989309975 0.003669203080543032 0
0.95 0.25 0.01717550504708904 0.003413922966561226 0
0.95 0.35 0.01649202017835567 0.004045599731631804 0
0.95 0.45 0.01606323531916038 0.003138710032187397 0
0.95 0.5499999999999999 0.03162094081895389 0.001023553606600786 1
0.95 0.6499999999999999 0.01290438515579361 0.0003004582237763572 1
0.95 0.7499999999999999 0.01079167289111971 2.728448111631227e-05 1
0.95 0.85 0.01032113409455018 2.166127589104382e-05 1
0.95 0.95 0.01018781328463841 2.502955412145212e-05 1
0.95 1.05 0.0101294336524842 3.010279425112144e-06 1
0.95 1.15 0.01007526228262328 2.970769408633592e-06 1
0.95 1.25 0.01004182502398674 1.27471986663131e-05 1
0.95 1.35 0.01002726234174799 1.19213751100429e-06 1
0.95 1.45 0.01002008217474481 6.133056705135712e-06 1
0.95 1.55 0.010003956017013 1.523763418130333e-06 0
0.95 1.65 0.01000564052937548 2.294415292613149e-06 0
0.95 1.75 0.01000433850297057 6.722579498284008e-06 0
